"iteration","A_time","A_Wind_median","A_Wind_bias","A_Wind_covered","A_Wind_power","A_Thermal_median","A_Thermal_bias","A_Thermal_covered","A_Thermal_power","A_MetaThermal_median","A_MetaThermal_bias","A_MetaThermal_covered","A_MetaThermal_power","B_time","B_MetaThermal_median","B_MetaThermal_bias","B_MetaThermal_covered","B_MetaThermal_power","E_MetaThermal_median","E_MetaThermal_bias","E_MetaThermal_covered","E_MetaThermal_power","E_note","E_time","F_MetaThermal_median","F_MetaThermal_bias","F_MetaThermal_covered","F_MetaThermal_power","F_note","F_time","D_note","D_time","G_time","H_true_pval","H_alt_pval","H_true_accepted","H_alt_rejected","H_correct","I_MetaThermal_median","I_MetaThermal_bias","I_MetaThermal_covered","I_MetaThermal_power","I_Wind_median","I_Wind_bias","I_Wind_covered","I_Wind_power","I_time","J_time"
1,53.346,-0.407,0.093,1,1,-0.857,-0.0569999999999999,1,1,0.579,-0.021,1,1,42.276,0.615,0.015,1,1,0.568150543160248,-0.0318494568397523,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0660000000000025,0.889029099883486,0.289029099883486,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.322000000000003,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.027000000000001,0,1,1,1,0,0,0.6099263540099,0.0099263540099005,1,1,-0.38121183936787,0.11878816063213,1,1,0.105000000000004,0
2,71.206,-0.316,0.184,1,0,-0.804,-0.004,1,1,0.641,0.041,1,1,45.057,0.657,0.057,1,1,0.647677636306748,0.0476776363067478,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.032999999999987,0.95147298645416,0.35147298645416,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.0810000000000173,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0339999999999918,0,1,1,1,0,0,0.660114020349636,0.0601140203496355,1,1,-0.44131269289097,0.0586873071090302,1,1,0.0919999999999845,0
3,59.734,-0.456,0.044,1,1,-0.582,0.218,1,1,0.63,0.03,1,1,42.429,0.559,-0.0409999999999999,1,1,0.663107455049472,0.0631074550494725,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0219999999999914,0.835752940812631,0.235752940812631,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.0740000000000123,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0269999999999868,0,1,1,1,0,0,0.566198548815345,-0.0338014511846552,1,1,-0.50707644000095,-0.00707644000095009,1,1,0.0840000000000032,0
4,64.535,-0.424,0.076,1,0,-0.823,-0.0229999999999999,1,1,0.632,0.032,1,1,52.12,0.655,0.055,1,1,0.597111290019973,-0.00288870998002722,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0509999999999877,0.877901453885268,0.277901453885268,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.132000000000005,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0529999999999973,0,1,1,1,0,0,0.652235801100419,0.052235801100419,1,1,-0.399811178526909,0.100188821473091,1,1,0.0949999999999704,0
5,61.119,-0.703,-0.203,1,1,-0.958,-0.158,1,1,0.684,0.0840000000000001,1,1,41.932,0.686,0.0860000000000001,1,1,0.646686644611996,0.0466866446119959,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0249999999999773,0.905738796275496,0.305738796275496,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.08299999999997,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.02800000000002,0,1,1,1,0,0,0.68972928677044,0.0897292867704402,1,1,-0.672599823150415,-0.172599823150415,1,1,0.103000000000065,0
6,61.079,-0.522,-0.022,1,1,-0.898,-0.098,1,1,0.712,0.112,1,1,42.689,0.669,0.0690000000000001,1,1,0.785738189824563,0.185738189824563,0,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0249999999999773,0.930508161681299,0.330508161681299,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.105999999999995,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0230000000000246,0,1,1,1,0,0,0.668386638043615,0.0683866380436152,1,1,-0.5860853271248,-0.0860853271248002,1,1,0.0939999999999372,0
7,63.7090000000001,-0.59,-0.09,1,0,-0.852,-0.0519999999999999,1,1,0.71,0.11,1,1,40.539,0.675,0.0750000000000001,1,1,0.579566046519238,-0.020433953480762,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0249999999999773,0.878519724778542,0.278519724778542,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.0680000000000973,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0329999999999018,0,1,1,1,0,0,0.677784947349906,0.0777849473499063,1,1,-0.480398671766695,0.0196013282333052,1,1,0.0810000000000173,0
8,60.201,-0.355,0.145,1,0,-0.941,-0.141,1,1,0.609,0.00900000000000001,1,1,41.4630000000001,0.629,0.029,1,1,0.598284654112954,-0.00171534588704625,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0220000000000482,0.858468101745582,0.258468101745582,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.0720000000000027,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0249999999999773,0,1,1,1,0,0,0.633482819281932,0.0334828192819315,1,1,-0.423831834564144,0.0761681654358564,1,1,0.0860000000000127,0
9,52.4109999999999,-0.579,-0.079,1,1,-0.959,-0.159,1,1,0.612,0.012,1,1,36.245,0.61,0.01,1,1,0.621039019968795,0.0210390199687952,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0240000000000009,0.968878463715011,0.368878463715011,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.05600000000004,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0219999999999345,0,1,1,1,0,0,0.610399003524788,0.0103990035247877,1,1,-0.589566500729519,-0.0895665007295192,1,1,0.0910000000000082,0
10,54.4639999999999,-0.66,-0.16,1,1,-0.859,-0.0589999999999999,1,1,0.589,-0.011,1,1,38.694,0.558,-0.0419999999999999,1,1,0.668557564805836,0.0685575648058364,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0180000000000291,0.892367897953663,0.292367897953663,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.0769999999999982,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0199999999999818,0,1,1,1,0,0,0.557229367831364,-0.0427706321686362,1,1,-0.564841637555455,-0.0648416375554547,1,1,0.0789999999999509,0
